gbifID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,countryCode,decimalLatitude,decimalLongitude,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,catalogNumber,recordNumber,license,rightsHolder,recordedBy
2859437878,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer rubrum,,SPECIES,Acer rubrum L.,US,40.670618,-78.238624,1904-05-17T00:00:00,17,5,1904,3189883,3189883,PRESERVED_SPECIMEN,CM,CM063400,s.n.,CC0_1_0,Carnegie Museum of Natural History,Jennings
2859437877,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer rubrum,,SPECIES,Acer rubrum L.,US,41.193475,-79.38618,1921-09-05T00:00:00,5,9,1921,3189883,3189883,PRESERVED_SPECIMEN,CM,CM063382,s.n.,CC0_1_0,Carnegie Museum of Natural History,Jennings
2859437875,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer rubrum,,SPECIES,Acer rubrum L.,US,40.1667,-79.4167,1917-10-14T00:00:00,14,10,1917,3189883,3189883,PRESERVED_SPECIMEN,CM,CM063346,s.n.,CC0_1_0,Carnegie Museum of Natural History,Jennings
2859437872,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer rubrum,,SPECIES,Acer rubrum L.,US,40.51689,-80.112459,,,,,3189883,3189883,PRESERVED_SPECIMEN,CM,CM063282,s.n.,CC0_1_0,Carnegie Museum of Natural History,Jennings
2859437870,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer rubrum,,SPECIES,Acer rubrum L.,US,40.556829,-76.762701,1952-04-24T00:00:00,24,4,1952,3189883,3189883,PRESERVED_SPECIMEN,CM,CM063244,12321,CC0_1_0,Carnegie Museum of Natural History,Berkheimer
2859437869,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer rubrum,,SPECIES,Acer rubrum L.,US,39.841351,-77.530785,1921-05-16T00:00:00,16,5,1921,3189883,3189883,PRESERVED_SPECIMEN,CM,CM063225,s.n.,CC0_1_0,Carnegie Museum of Natural History,Jennings
2859437218,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer rubrum,,SPECIES,Acer rubrum L.,US,41.723926,-79.260395,1996-09-15T00:00:00,15,9,1996,3189883,3189883,PRESERVED_SPECIMEN,CM,CM473969,9428,CC0_1_0,Carnegie Museum of Natural History,Isaac
2859437037,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer rubrum,,SPECIES,Acer rubrum L.,US,41.645,-71.612708,,,,,3189883,3189883,PRESERVED_SPECIMEN,CM,CM251617,8742,CC0_1_0,Carnegie Museum of Natural History,Boufford
2859436943,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer rubrum,,SPECIES,Acer rubrum L.,US,,,1954-06-18T00:00:00,18,6,1954,3189883,3189883,PRESERVED_SPECIMEN,CM,CM184536,s.n.,CC0_1_0,Carnegie Museum of Natural History,Henry
2859436942,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer rubrum,,SPECIES,Acer rubrum L.,US,44.257278,-74.011265,1953-08-02T00:00:00,2,8,1953,3189883,3189883,PRESERVED_SPECIMEN,CM,CM184518,s.n.,CC0_1_0,Carnegie Museum of Natural History,Henry
